hypothesis_id,setup_type,qualitative_claim,bullish_rule,bearish_rule,required_data,feature_columns_needed,candidate_thresholds,confirmation_rule,invalidation_rule,expected_edge,priority_score_1_to_5,implementation_difficulty_1_to_5,evidence_strength_from_transcripts_1_to_5,source_files,notes
H01,Exhaustion print (bullish),Tiny volume at a new swing low = last seller has sold; market reverts up once aggression goes silent.,IsBarLow is new N-bar low AND green bar AND volume at the low price-level <= expVol AND one of next 1-2 bars trades > signal-bar high by >=1 tick.,"Mirror: new N-bar high, red bar, volume at high level <= expVol, next 1-2 bars trade < signal-bar low.","Footprint (bid/ask per level), OHLC",BidVol/AskVol at IsBarLow/IsBarHigh; high/low; close>open,"expVol 3(crude)/5(FX)/9-10(rates,index); N=25 (alt 25/30/50); buffer=1 tick; window=2 bars",Next 1-2 bars break signal-bar extreme by >=1 tick,Next bar trades inside signal bar (no break in 2 bars); ~10-min sideways time stop,"Core reversal trigger; he calls it his original+favorite, claims fast follow-through",5,2,5,"Ch005,Ch010/v358,Ch011,Ch016,Ch017",expVol is liquidity-scaled and drifts (single-digits->9-10): test dynamic low-percentile. [FORCED on single threshold]
H02,Exhaustion + absorption (A+ value-area),His explicit A+: exhaustion FOLLOWING absorption at a level (prominent POC / value area not retraded).,H01 bullish AND (bullish prominent POC near bar low OR value area present AND next bar range does NOT re-enter the value area).,Mirror at swing high with bearish POC / value area.,"Footprint, value-area build, OHLC",POCPrice/POCPosition; value-area hi/lo; next-bar range,VA abandonment = next-bar range ∩ VA = empty (binary); POC at extreme,H01 confirm + VA/POC not retraded next bar,VA/POC retraded next bar; H01 invalidation,He labels value-area absorption 'A+' / 'highest confidence / French kiss',5,3,5,"Ch016/v485,Ch102/v479,Ch094/v355,Ch103",Key test of his A+ claim: does requiring absorption raise win-rate vs bare exhaustion?
H03,Follow-through gate,'Let the market take you in' - a print is only a trade if the next bar(s) extend beyond it.,"For any reversal candidate, require one of next 1-2 bars to break signal-bar extreme by >=buf before entry.",Mirror.,OHLC,high/low; bar index,buf=1 tick; window=1-2 bars,Self (this IS the confirmation rule),No break within window -> cancel candidate,He claims this gate is the difference between a pattern and a trade,5,1,5,"Ch016/v490,Ch017/v492,Ch078/v242,Ch069/v214",Compare expectancy: enter-on-signal-bar vs 2-bar follow-through. His strongest entry claim.
H04,Ratio + Divergence (bullish),New/equal low on positive delta + footprint ratio defense = bread-and-butter reversal.,New/equal N-low AND BarDelta>0 AND ratio<=0.69 (bounds-low) AND confirming green price action AND next bar trades higher.,"Mirror: new/equal high, BarDelta<0, ratio>=30 (bounds-high).","Footprint, delta, ratio, OHLC",BarDelta; ratio; high/low,"ratio >=30 / <=0.69 (binary, magnitude NOT graded)",Next bar trades beyond extreme,Divergence alone (no ratio/price action) -> high failure; next bar inside,His most-repeated 'automatic' setup across 2016-2026,4,4,4,"Ch002,Ch003,Ch012,Ch102/v471",Ratio formula UNDISCLOSED; reproduce from footprint+validate. 2017 cutoff ~7 differs (older def).
H05,Cumulative-delta divergence radar,"Price new extreme while cumulative delta does not = distribution/absorption warning (radar, not trigger).",Price new N-low AND NinjaCVD not new low -> arm; require separate trigger (H01/H04) + follow-through.,Mirror at highs.,"Delta, cumulative delta, OHLC",NinjaCVD/ExportSessionCVD; high/low,strict new extreme vs no-new-extreme on CVD,Paired trigger + follow-through,CVD confirms new extreme with price; no trigger appears,"He uses CVD divergence as a heads-up, explicitly not a standalone entry",4,3,5,"Ch008/v296,Ch009/v309,Ch099/v403,Ch101/v442",Must be paired; alone it is weak. Confirmation-only per his words.
H06,Trend-day filter (3 failed divergences),"Three failed divergences/exhaustions in ~1 hr = trend day: stop fading, trade the breakout.",If failed_divergence_count over trailing window >=3 -> suppress bullish/bearish fades; enable breakout-with.,Same (symmetric regime filter).,"Delta, OHLC, time",BarDelta; divergence-fail counter; timestamp,count>=3; window default 60 min (PARAM),n/a (filter),n/a,Repeatedly stated; protects against the classic fade-into-trend blowup,4,3,5,"Ch009/v312,Ch028/v50,Ch002/v70",He REFUSES to hard-code the window. [FORCED] -> prefer consecutive-failure count over a clock.
H07,Stacked-imbalance reversal (opposite-color),A failed buy-stack then a sell-stack in a small zone (or opposite-color stack at extreme) = powerful reversal; go with the SECOND imbalance.,BottomSellStackMax>=3 at a swing low (sell-imbs in green = absorption) OR failed buy-stack then sell-stack within <=5 ticks; bar closes beyond; not stale.,Mirror at highs.,"Footprint imbalance, OHLC",BuyImbalanceCount/SellImbalanceCount; TopBuyStackMax/BottomSellStackMax; close,imbRatio=4:1 (alt 2.5/3/3.5/10); imbVol~10 (era 50); stack>=3; zone<=5; decay<=5 bars,Bar closes beyond stack + follow-through,Same-color stack (continuation); stale (>5 bars); no close beyond,His clearest discrete reversal rule (opposing imbalance),4,3,5,"Ch001/v8,Ch006/v176,Ch008,Ch085/v285","imbVol is liquidity-scaled; same-color must be classified as continuation, not reversal."
H08,Same-color stack = continuation (filter),Same-direction stacked imbalances are weak as reversals and usually mean continuation.,Suppress bullish reversal if the stack at the low is BUY-imbalances in a green up-move (same color).,Mirror.,"Footprint imbalance, OHLC",imbalance dir; close>open,color match test,n/a (filter),n/a,Avoids the common 'buy the stack' error he explicitly rebuts,3,2,4,"Ch001/v8,Ch007/v280,Ch006/v176",Direction-by-color is central to his imbalance reading.
H09,Multiple-imbalance reversal (earlier fire),3+ non-consecutive imbalances in a bar fire ~3 pts earlier than stacked and are 'as important or more'.,BuyImbalanceCount(or Sell)>=3 within one bar at a swing extreme + follow-through.,Mirror.,"Footprint imbalance, OHLC",BuyImbalanceCount/SellImbalanceCount; high/low,count>=3; imbRatio=4:1; imbVol~10,Follow-through,Mid-move; no follow-through,He claims earlier entry vs stacked (testable edge),4,2,4,"Ch004,Ch005/v173,Ch061/v196",Test the 'earlier/more profitable than stacked' claim directly.
H10,Inverse imbalance / trapped (bullish),"Selling imbalances inside a green candle at a low = absorption/trapped sellers; shift signal, NOT squeeze fuel.",Sell-imbalance(s) inside green bar at swing low AND next bar trades away (not back in).,Mirror: buy-imbalances in red bar at high.,"Footprint imbalance, delta, OHLC",imbalance dir; close>open; BarDelta sign,inverse-level 2(ES)/3(YM); next-bar-away,Next bar trades away from the bar (not back in),Next bar trades back into the bar; treat trapped size as magnitude,"Absorption read; he is emphatic trapped qty is small (a tell, not fuel)",3,3,4,"Ch006,Ch007/v280,Ch078/v242,Ch085/v284",Do NOT scale conviction by trapped volume - explicit contrarian point.
