"hypothesis_id","model_variant","base_setup_type","enhancement_type","qualitative_claim","bullish_rule","bearish_rule","required_exported_columns","causal_timing_rule","feature_role","expected_edge","failure_mode","priority_score_1_to_5","implementation_difficulty_1_to_5","notes"
"MD001","A_BASELINE","edge_exhaustion_at_location","none","The transcript-derived model alone must be the benchmark.","Use final baseline bullish signal with no TICK or L2 columns in scoring.","Use final baseline bearish signal with no TICK or L2 columns in scoring.","signal_id; timestamp; instrument; direction; grade; baseline_total_score; baseline_active_modules; edge_level_type; edge_price; entry_reference; stop_reference","Use only closed-bar footprint/order-flow data available at baseline signal time.","benchmark","Clean benchmark for all enhancements.","Enhanced models may look better only because they reduce frequency or use delayed information.","5","2","Preserve as sacred control."
"MD002","B_BASELINE_TICK_CONTEXT","edge_exhaustion_at_location","TICK_context","TICK extreme at the same reversal location may show broad-market exhaustion.","Baseline bullish signal gets score boost if TICK is at negative extreme and begins stabilizing by signal/confirmation time.","Baseline bearish signal gets score boost if TICK is at positive extreme and begins stabilizing by signal/confirmation time.","tick_value_at_signal; tick_percentile; tick_extreme_flag; tick_slope_pre_signal; tick_recovery_at_confirm; baseline_signal_id","If used for entry score, TICK must be known at or before confirmed signal; recovery after signal is delayed-confirmation only.","score_boost","Better selectivity for broad-market exhaustion reversals.","Extreme TICK can persist in trend days and make fades worse.","4","2","Test as soft boost before veto."
"MD003","B_BASELINE_TICK_CONTEXT","delta_trap_at_edge","TICK_divergence","TICK failing to confirm a new price extreme may strengthen reversal.","Price makes lower low but TICK makes higher low or less extreme reading; boost long baseline signal.","Price makes higher high but TICK makes lower high or less extreme reading; boost short baseline signal.","tick_value_at_price_extreme; prior_tick_extreme; tick_divergence_score; price_extreme_type; baseline_signal_id","Use TICK values up to the price extreme and confirmed signal; no future recovery unless delayed confirmation.","score_boost","Filters local footprint signals that align with broader internals divergence.","TICK divergence can appear repeatedly during strong trend and fail.","4","2","Useful for ES/NQ/YM index products; weaker for non-index futures."
"MD004","B_BASELINE_TICK_CONFIRM","failed_acceptance_reclaim","TICK_recovery_after_sweep","TICK recovery after a sweep can confirm that broad selling/buying pressure is reversing.","After downside sweep/reclaim, TICK recovers from negative extreme before entry or delayed confirmation.","After upside sweep/rejection, TICK rolls over from positive extreme before entry or delayed confirmation.","tick_extreme_flag; tick_recovery_ticks; tick_recovery_seconds; reclaim_flag; confirmation_timestamp","If recovery occurs after baseline signal, entry timestamp must be delayed to recovery confirmation.","confirmation","May reduce failed sweep fades.","Delayed confirmation may worsen R and miss best entries.","4","2","Compare immediate baseline entry vs TICK-delayed entry."
"MD005","B_BASELINE_TICK_VETO","all_baseline_reversals","TICK_veto","TICK confirming the breakout direction may veto countertrend reversals.","Veto long if price is making lows and TICK is also making fresh negative extremes without recovery.","Veto short if price is making highs and TICK is also making fresh positive extremes without rollover.","tick_trend_state; tick_new_extreme_flag; tick_recovery_at_confirm; price_extreme_type; baseline_signal_id","Veto uses only TICK state at signal/confirmation time.","veto","Cuts fades during broad-market continuation.","Can remove strong local reversals that lead TICK recovery.","3","2","Hard veto only after soft score proves value."
"MD006","B_BASELINE_INDEX_TOPBOOK","edge_exhaustion_at_location","index_top_of_book_context","Index top-of-book confirming broad pressure may help separate local turn from market-wide push.","Boost long if related index top-of-book pressure stops making lower bids/offers near baseline long.","Boost short if related index top-of-book pressure stops making higher bids/offers near baseline short.","index_bid; index_ask; index_mid; index_spread; index_mid_slope; index_quote_velocity; baseline_signal_id","Use quote state at/before signal; future index move is outcome only.","context_filter","Adds broad-market confirmation beyond local contract footprint.","Index feed may be noisy or misaligned; correlation varies by instrument.","3","3","Use for ES/NQ/YM first."
"MD007","C_BASELINE_L2_SOFT","absorption_to_exhaustion","L2_depth_imbalance","Depth imbalance near the reversal edge may confirm passive defense.","At support/low, bid depth imbalance within 1/3/5/10 levels supports long baseline signal.","At resistance/high, ask depth imbalance within 1/3/5/10 levels supports short baseline signal.","l2_bid_depth_1; l2_ask_depth_1; l2_bid_depth_3; l2_ask_depth_3; l2_bid_depth_5; l2_ask_depth_5; l2_bid_depth_10; l2_ask_depth_10; l2_depth_imbalance_*; edge_price","Snapshot must be from before or at signal confirmation, not after reversal starts.","score_boost","Improves absorption scoring with actual resting liquidity context.","Displayed depth can spoof/pull; static imbalance may not hold.","5","4","First L2 feature to test as soft score."
"MD008","C_BASELINE_L2_CONFIRM","absorption_effort_vs_result","passive_replenishment","Passive replenishment after aggressive trades is stronger absorption evidence than footprint alone.","After aggressive selling at low, bid depth replenishes at/behind edge while price fails lower; confirm long.","After aggressive buying at high, ask depth replenishes at/behind edge while price fails higher; confirm short.","aggressive_trade_volume_at_edge; l2_bid_replenish_rate; l2_ask_replenish_rate; l2_depth_before_edge; l2_depth_after_trade; edge_price","If replenishment is measured after aggressive trade but before entry/confirmation, it is valid; post-entry replenishment is outcome.","confirmation","More causal absorption confirmation.","Requires precise time alignment between trades and book updates.","5","5","Highest-value L2 idea; hardest to implement cleanly."
"MD009","C_BASELINE_L2_SOFT","failed_acceptance_reclaim","book_flip_after_sweep","Book flipping after a sweep may confirm failed acceptance.","After downside sweep, book pressure flips from ask/sell pressure to bid support before/during reclaim; long.","After upside sweep, book pressure flips from bid/buy pressure to ask supply before/during rejection; short.","l2_book_pressure_pre_sweep; l2_book_pressure_at_sweep; l2_book_pressure_post_sweep; sweep_flag; reclaim_flag; book_flip_flag","If post-sweep flip is required, entry must be delayed until flip timestamp.","confirmation","Filters real sweeps from continuation breaks.","Book can flip after most of move; delayed entries may be worse.","4","5","Test immediate vs delayed book-flip confirmation."
"MD010","C_BASELINE_L2_VETO","failed_acceptance_reclaim","visible_liquidity_continuation_veto","If visible liquidity disappears and market accepts through the level, do not fade.","Veto long after downside break if bid depth pulls and ask pressure remains dominant below level.","Veto short after upside break if ask depth pulls and bid pressure remains dominant above level.","l2_pull_rate_bid; l2_pull_rate_ask; l2_depth_imbalance_post_break; acceptance_beyond_level; baseline_signal_id","Veto uses book state at/before baseline confirmation; if measured later, label delayed veto.","veto","Avoids fading real breaks where passive side gives up.","Hard veto may block reversals caused by liquidity vacuum snaps.","4","5","Test soft penalty before hard veto."
