"hypothesis_id","setup_type","qualitative_claim","bullish_rule","bearish_rule","required_data","feature_columns_needed","candidate_thresholds","confirmation_rule","invalidation_rule","expected_edge","priority_score_1_to_5","implementation_difficulty_1_to_5","evidence_strength_from_transcripts_1_to_5","source_files","notes"
"VH001","edge_exhaustion","At a meaningful edge, very low volume at the bar extreme is a reversal trigger only after bar close.","Low/swing low/LOD/support with low_volume_at_low and confirmed bar close; trigger long only if next bar trades up or close rejects low.","High/swing high/HOD/resistance with low_volume_at_high and confirmed bar close; trigger short only if next bar trades down or close rejects high.","OHLCV; footprint volume at price; session levels; swing levels","low_volume_at_low; low_volume_at_high; swing_extreme_rank; session_extreme_flag; level_type; bar_closed; next_bar_trigger; stop_distance_ticks","Default only: swing_lookback=25, edge_volume_limit=10; test percentile edge volume and market-specific grids.","Confirmed bar close plus next-bar directional trade or rejection close.","Signal extreme plus buffer breached; acceptance beyond edge; no response timeout.","Strong: compact structural stop and immediate rejection from edge.","5","3","5","20260302 - Trading Exhaustion Prints In The Order Flow Using Orderflows Trader [FNPJ2cwnvqY].en.vtt | 20260528 - Understanding The Order Flow Exhaustion Entry Model Setup [IXCXUMo2iDQ].en.vtt","Directly supported. V2 removes any implication that every print is a trade."
"VH002","absorption_to_exhaustion","The highest-quality reversal is exhaustion after absorbed aggression at a meaningful edge.","After bearish effort is absorbed near support, require edge exhaustion or very weak low-volume retest; long on upward trigger.","After bullish effort is absorbed near resistance, require edge exhaustion or very weak high-volume failure; short on downward trigger.","OHLCV; footprint; delta; bid/ask volume; levels","absorption_score; effort_result_score; delta_contradiction; exhaustion_flag; level_score; trigger_state; stop_distance_ticks","No hard absorption threshold; require combined absorption_score plus exhaustion/location score. Test A+ cutoffs 75/82/90.","Signal bar closes; price moves away from absorbed/exhaustion zone within configured trigger window.","Price accepts through absorbed zone; fresh initiative expands through edge.","Very strong: combines trader's favorite exhaustion-after-absorption idea with tight stop.","5","4","5","20260511 - My Favorite Order Flow Entry Model for ES [kDa3_a4Bezk].en.vtt | 20260515 - My A+ Trade Setup Using Absorption In Order Flow [xIFiALSmUTk].en.vtt | 20260518 - A+ Setup Order Flow Absorption [Fpjas21x0Xg].en.vtt","Best flagship hypothesis, but absorption proxy is interpretive."
"VH003","pure_absorption","Aggressive delta is not control if price does not progress; passive absorption can reverse price.","At support/low, negative delta or sell aggression with green/off-low close and poor downside progress; long on rotation above signal/retest.","At resistance/high, positive delta or buy aggression with red/off-high close and poor upside progress; short on rotation below signal/retest.","OHLCV; delta; bid/ask volume; footprint; levels","bar_delta; delta_percentile; close_location_value; price_progress_per_delta; defended_price_volume; level_score","Use delta percentile and price-progress-per-delta score; no absolute contract threshold.","Rotation away from defended price; optional retest failure.","Continuation through defended price with expanding delta.","Strong when level is clear and effort/result mismatch is large.","5","4","5","20220912 - Absorption In The Order Flow On Moves Up How To See It In The Delta And Imbalances [n9buSk4fTmg].en.vtt | 20260518 - A+ Setup Order Flow Absorption [Fpjas21x0Xg].en.vtt","Direct concept, subjective measurement without DOM."
"VH004","positive_delta_trap","Strong positive delta at highs is bearish when it is absorbed and fails to continue.","Mirror only: strong negative delta at lows can be bullish if it fails to continue lower.","At HOD/resistance/swing high, positive_delta_percentile high but continuation_mfe poor; short after red/rejection bar or loss of signal low.","OHLCV; delta; footprint; levels","positive_delta_percentile; high_location_score; continuation_mfe_ticks; close_location_value; next_bar_delta; rejection_trigger","Research default: delta percentile >=80/90 and continuation <= small tick threshold; optimize by instrument.","No continuation beyond high plus rejection/negative response.","Price accepts above high and positive delta continues.","Strong if at resistance/HOD with immediate failure.","5","3","5","20260505 - Green Delta Trap - Why Positive Delta Can Still Be Bearish [i8oUsL2J9nQ].en.vtt","Backtest separately from generic divergence; must not short strong delta in open space."
"VH005","negative_delta_absorption","Negative delta at lows is bullish only when selling is absorbed and price holds.","At LOD/support/swing low, negative_delta_percentile high but close is green/off-low or next bar lifts; long after trigger.","Mirror: positive delta at high with rejection is handled in VH004.","OHLCV; delta; footprint; levels","negative_delta_percentile; low_location_score; close_location_value; next_bar_direction; absorption_score","Research default: delta percentile <=20 or negative zscore extreme plus close_location_value > 0.5; test soft ranges.","Bar closes off low or next bar trades up.","Price breaks/accepts below low with expanding negative delta.","Strong when sellers are visibly absorbed by passive buyers.","5","3","5","20220912 - Absorption In The Order Flow On Moves Up How To See It In The Delta And Imbalances [n9buSk4fTmg].en.vtt | 20260518 - A+ Setup Order Flow Absorption [Fpjas21x0Xg].en.vtt","Separate bullish version prevents confusing mirror logic."
"VH006","delta_weakness_retest","A retest/new extreme with weaker delta has edge only at a level and after price confirms.","Lower low/retest low with less negative delta than prior push; long only after reclaim/rejection or exhaustion.","Higher high/retest high with less positive delta than prior push; short only after rejection or exhaustion.","OHLCV; bar delta; cumulative delta; max/min delta; levels","prior_extreme_delta; current_extreme_delta; delta_slope; cum_delta_divergence; retest_distance_ticks; confirmation_state","Use normalized delta difference over prior 3-5 directional pushes; avoid fixed contracts.","Reclaim/rejection, reversal close, or exhaustion at retest.","Delta re-accelerates and price extends through level.","Medium-high: best as confluence, not standalone.","4","3","4","20230105 - Cumulative Delta Divergence In Order Flow Ahead Of FED Minutes Release [qCg4RBTU3Z8].en.vtt | 20230921 - Cumulative Delta Part 2 When Price And Cumulative Delta Diverge [JX2oAcGoTaw].en.vtt","V2 explicitly caps standalone divergence below A+."
"VH007","failed_acceptance","Breakout/sweep edge reversals require reclaim, not just a wick.","Break below support/LOD/value then close back above within reclaim window; long on reclaim hold.","Break above resistance/HOD/value then close back below within reclaim window; short on rejection hold.","OHLCV; levels; delta; footprint optional","level_type; break_distance_ticks; bars_outside_level; close_back_inside; reclaim_speed; post_reclaim_mfe","Research defaults: reclaim_window=1-3 bars; break_distance >=1 tick; test by timeframe.","Close back inside level plus next bar holds/moves away.","Retest outside level holds; acceptance beyond level; trend-day continuation.","Strong for clean levels; weak for random wicks.","4","2","4","20230113 - Order Flow Value Area Strategy Trading Volatile Markets Breaking Out Of Balance [FJ29ObXIUkE].en.vtt | 20260505 - Green Delta Trap - Why Positive Delta Can Still Be Bearish [i8oUsL2J9nQ].en.vtt","More testable than vague failed breakout wording."
"VH008","liquidity_sweep_failure","A stop run is only tradable when sweep volume fails and the level is reclaimed.","Sweep below prior low with volume/delta spike, then reclaim prior low; long after reclaim.","Sweep above prior high with volume/delta spike, then reject below prior high; short after rejection.","OHLCV; footprint; volume; delta; swing/session levels","sweep_ticks; swept_level_type; volume_spike_percentile; delta_spike_percentile; reclaim_flag; wick_ratio","Research defaults: volume percentile >=90, reclaim <=3 bars; treat as crude.","Reclaim/rejection of swept level and no continuation in sweep direction.","Level flips and holds in sweep direction; fresh stacked imbalances continue.","Medium: useful but noisy and under-sampled.","3","3","3","20180725 - Orderflows Trader 2 0 For NT7 Prominent POCs Trapped Trader Market Sweeps [tJSzbSMm_Ro].en.vtt | 20260507 - Order Flow Surrounding The Suspicious Crude Oil Trades [Swcnspl-ACc].en.vtt","Keep secondary until validated against raw examples."
"VH009","trapped_aggression","Trapped traders are identified by late aggression plus no continuation, not by size alone.","Late sellers hit lows and fail; price reverses through their likely entry zone; long.","Late buyers lift highs and fail; price reverses through their likely entry zone; short.","OHLCV; delta; footprint; levels","late_aggression_score; poor_location_score; no_continuation_score; trap_zone_price; reversal_through_zone","No fixed threshold; use aggression percentile plus no-continuation score.","Price trades through trap zone against aggressive side.","Aggressive side continues and accepts beyond edge.","Medium-high discretionary edge; lower automation confidence.","4","4","4","20220927 - How To Recognize Trapped Traders And The Different Types Of Traps In Order Flow [3CwSqiJ073w].en.vtt | 20240410 - How To Easily Identify Trapped Traders With Orderflows Trader 7 For NinjaTrader 8 [DLQY17ybHYE].en.vtt","V2 flags not every stop/large order as trap."
"VH010","failed_continuation","If a strong initiative bar should continue but stalls, reversal odds improve at an edge.","Strong sell bar/stack fails to continue lower near support; long after reclaim of trigger zone.","Strong buy bar/stack fails to continue higher near resistance; short after loss of trigger zone.","OHLCV; delta; footprint; imbalances; levels","initiative_score; expected_direction; follow_through_ticks; stall_bars; trigger_zone_reclaim; level_score","Use follow-through deficiency score; test windows 1/2/3/5 bars.","Opposite close through trigger zone or level reclaim/rejection.","Continuation resumes in original direction.","Medium-high: central principle, but needs precise trigger zone.","4","4","4","20260505 - Green Delta Trap - Why Positive Delta Can Still Be Bearish [i8oUsL2J9nQ].en.vtt | 20260530 - The Only Order Flow Strategy You Need The Exhaustion Entry Model [JF3zld5XDsM].en.vtt","Good as score module; risky as standalone entry."
