"hypothesis_id","setup_type","qualitative_claim","bullish_rule","bearish_rule","required_data","feature_columns_needed","candidate_thresholds","confirmation_rule","invalidation_rule","expected_edge","priority_score_1_to_5","implementation_difficulty_1_to_5","evidence_strength_from_transcripts_1_to_5","source_files","notes"
"H001","exhaustion reversal","Very low volume at a meaningful edge marks buyers or sellers running out of ammunition.","At swing low or low of day/support, edge volume at low is below exhaustion limit and signal bar closes; enter long when next bar trades up.","At swing high or high of day/resistance, edge volume at high is below exhaustion limit and signal bar closes; enter short when next bar trades down.","OHLCV; footprint volume at price; session high/low; swing high/low","edge_volume_low; edge_volume_high; is_swing_low; is_swing_high; is_lod; is_hod; next_bar_direction; signal_bar_range_ticks","Directly supported starting point: swing lookback 25 and edge volume limit 10 for ES model; relax by market/session.","Bar close confirms signal; next bar trades at least 1 tick in reversal direction.","Signal extreme breached and accepted; no favorable movement after several bars/minutes.","High: tight stop beyond edge and immediate rejection expected.","5","3","5","20260528 - Understanding The Order Flow Exhaustion Entry Model Setup [IXCXUMo2iDQ].en.vtt | 20260302 - Trading Exhaustion Prints In The Order Flow Using Orderflows Trader [FNPJ2cwnvqY].en.vtt","Directly supported, but fixed 25/10 settings are too strict as universal thresholds."
"H002","exhaustion after absorption","The best exhaustion reversal improves when it follows absorption or prior aggressive flow failure.","After passive-buyer absorption or negative-delta green candle near low, require exhaustion print at/near support and next-bar lift.","After passive-seller absorption or positive-delta failure near high, require exhaustion print at/near resistance and next-bar drop.","OHLCV; footprint; delta; bid/ask volume; levels","absorption_score; exhaustion_print; level_proximity_ticks; delta_contradiction; next_bar_direction; stop_distance_ticks","No hard threshold; use graded absorption_score plus H001 exhaustion settings as configurable defaults.","Signal bar closes with exhaustion; price rotates away from absorbed zone within 1-3 bars.","Price accepts through absorbed zone or signal extreme; aggressive side continues.","Very high: combines flagship setup pieces.","5","4","5","20260511 - My Favorite Order Flow Entry Model for ES [kDa3_a4Bezk].en.vtt | 20260515 - My A+ Trade Setup Using Absorption In Order Flow [xIFiALSmUTk].en.vtt | 20260518 - A+ Setup Order Flow Absorption [Fpjas21x0Xg].en.vtt","Interpretation converts qualitative absorption into score; avoid making prior absorption mandatory for every exhaustion trade."
"H003","delta weakening exhaustion","Exhaustion is stronger when directional delta weakens into the new extreme.","Lower low or retest low has less negative delta than prior sell bars, then exhaustion print appears at low.","Higher high or retest high has less positive or negative delta versus prior buy bars, then exhaustion print appears at high.","OHLCV; bar delta; max/min delta; footprint edge volume","delta_slope_lookback; delta_at_extreme; prior_push_delta; edge_volume; price_extreme_type; exhaustion_print","Use normalized delta versus prior 3-5 directional bars; no fixed contract threshold.","Next bar trades away from the extreme; early MFE appears quickly.","Delta re-accelerates in trend direction and price extends through signal extreme.","High: catches effort fading at edge.","5","3","5","20260512 - Order Flow Exhaustion Entry Model [zNFwOH0trr4].en.vtt | 20260530 - The Only Order Flow Strategy You Need The Exhaustion Entry Model [JF3zld5XDsM].en.vtt","Directly supported concept; exact delta lookback is an approximation."
"H004","bullish absorption","Negative delta can be bullish when sellers are absorbed by passive buyers and price holds.","At low/support, candle closes green or off low with negative delta and poor downside progress; long on rotation above signal high or next-bar lift.","Not applicable except mirror logic in H005.","OHLCV; bid/ask volume; delta; level proximity","bar_delta; candle_color; close_location_value; downside_progress_ticks; volume_at_bid_near_low; level_proximity_ticks","No hard threshold; use delta percentile and price-progress failure score.","Price lifts away from absorbed low and does not revisit/accept below it.","Price breaks and accepts below absorbed low; selling delta expands.","High: captures passive buying at lows.","5","4","5","20220912 - Absorption In The Order Flow On Moves Up How To See It In The Delta And Imbalances [n9buSk4fTmg].en.vtt | 20260518 - A+ Setup Order Flow Absorption [Fpjas21x0Xg].en.vtt","Partially subjective because passive buyers are inferred from footprint result."
"H005","bearish absorption green delta trap","Strong positive delta at resistance can be bearish if aggressive buyers are absorbed and there is no continuation.","Not applicable except mirror logic in H004.","At high/resistance, strong positive delta fails to produce continuation, candle rejects or next bar turns negative; short on loss of signal low.","OHLCV; bid/ask volume; delta; levels; footprint","bar_delta; positive_delta_percentile; high_proximity; close_location_value; next_bar_delta; continuation_mfe_ticks","Use positive delta percentile versus recent bars; no absolute threshold.","No continuation beyond high; next bar rejects or turns red/negative delta.","Price continues above high and accepts; positive delta keeps expanding.","High: strong trap/reversal edge at highs.","5","4","5","20260505 - Green Delta Trap - Why Positive Delta Can Still Be Bearish [i8oUsL2J9nQ].en.vtt","Directly supported concept; implementation must not short every strong positive delta."
"H006","failed breakout reversal","Breakouts that cannot hold outside a meaningful level often reverse.","After breakdown below prior low/support/value area, price closes back above level with order-flow failure; long on reclaim.","After breakout above prior high/resistance/value area, price closes back below level with order-flow failure; short on reclaim.","OHLCV; levels; delta; footprint; value area","break_level; break_distance_ticks; close_back_inside; delta_at_break; reclaim_bars; level_type; trapped_score","Crude default: reclaim within 1-3 bars is stronger; relax in testing.","Close back inside level plus next-bar continuation away from failed break.","Retest holds outside level or price accepts beyond breakout.","High when level is obvious and failure is fast.","4","3","4","20230113 - Order Flow Value Area Strategy Trading Volatile Markets Breaking Out Of Balance [FJ29ObXIUkE].en.vtt | 20260505 - Green Delta Trap - Why Positive Delta Can Still Be Bearish [i8oUsL2J9nQ].en.vtt","Interpretation; needs robust level definitions to avoid curve-fit."
"H007","stop-run liquidity sweep","A sweep beyond a visible high/low that immediately reclaims can mark exhaustion of stop liquidity.","Sweep below prior low with volume/delta spike, then reclaim prior low; long after reclaim.","Sweep above prior high with volume/delta spike, then reject below prior high; short after reclaim.","OHLCV; footprint; delta; volume; swing/session levels","sweep_direction; sweep_ticks; volume_spike_percentile; delta_spike_percentile; reclaim_flag; wick_ratio","Use relative volume/delta percentile, not fixed size; default volume percentile 90 as research starting point.","Price reclaims swept level and moves away within 1-3 bars.","Level flips into support/resistance for continuation; fresh imbalances continue sweep direction.","Medium-high but noisy: stop volume is ambiguous.","4","3","3","20180725 - Orderflows Trader 2 0 For NT7 Prominent POCs Trapped Trader Market Sweeps [tJSzbSMm_Ro].en.vtt | 20260507 - Order Flow Surrounding The Suspicious Crude Oil Trades [Swcnspl-ACc].en.vtt","Under-sampled; treat as secondary module until validated."
"H008","trapped trader reversal","Late aggressive traders at poor location become fuel when their flow is absorbed and fails.","Strong sell delta/volume into low fails to continue; price reverses through likely short-entry zone; long.","Strong buy delta/volume into high fails to continue; price reverses through likely long-entry zone; short.","OHLCV; delta; footprint; bid/ask volume; levels","late_aggression_score; no_continuation_score; absorption_score; trap_zone_price; reversal_through_zone","No fixed threshold; use delta/volume percentile plus price-progress failure.","Price moves against the aggressive side and through the trap zone.","Aggressive side continues and accepts beyond the edge.","Medium-high: can create quick unwind, but not always huge.","4","4","4","20220927 - How To Recognize Trapped Traders And The Different Types Of Traps In Order Flow [3CwSqiJ073w].en.vtt | 20240410 - How To Easily Identify Trapped Traders With Orderflows Trader 7 For NinjaTrader 8 [DLQY17ybHYE].en.vtt","Trader warned not every stop/large order is a true trap; keep soft."
"H009","price delta divergence reversal","Price making a new extreme without confirming delta is a reversal warning, not a standalone entry.","Lower low with less negative delta or cumulative delta divergence at support; long after reversal confirmation.","Higher high with less positive delta or cumulative delta divergence at resistance; short after reversal confirmation.","OHLCV; bar delta; cumulative delta; levels","price_extreme_delta; cum_delta_extreme; divergence_score; level_proximity; confirmation_bar","Use normalized delta differences; no fixed delta number across markets.","Reversal candle or reclaim after divergence; preferably exhaustion/absorption confluence.","Delta re-accelerates and price extends in trend direction.","Medium-high when paired with level/confluence.","4","3","4","20230105 - Cumulative Delta Divergence In Order Flow Ahead Of FED Minutes Release [qCg4RBTU3Z8].en.vtt | 20230921 - Cumulative Delta Part 2 When Price And Cumulative Delta Diverge [JX2oAcGoTaw].en.vtt","Delta divergence alone is overtraded; require context."
"H010","stacked imbalance failure","Stacked imbalances should create follow-through; failure at an edge is reversal evidence.","Stacked sell imbalance into low/support does not continue lower and price reclaims stack zone; long.","Stacked buy imbalance into high/resistance does not continue higher and price loses stack zone; short.","Footprint bid/ask volume; imbalance detector; OHLC; levels","stack_direction; stack_count; stack_zone_high; stack_zone_low; follow_through_ticks; reclaim_stack_flag","Candidate only: 3+ adjacent imbalances; imbalance ratio configurable by platform; relax in testing.","Opposite close or trade through the stacked imbalance zone.","Clean continuation in stack direction; retest holds in stack direction.","Medium: useful but context-sensitive.","3","3","4","20180720 - Orderflows Analysis Understanding Stacked Imbalances In Order Flow [VRexz_F1LTU].en.vtt | 20240823 - Trading Stacked Imbalances In Volatile Markets Using Orderflows Trader [7mQg03s95Ik].en.vtt","Do not fade fresh trend-day stacks without failure."
