"feature_name","category","data_required","calculation_idea","bullish_meaning","bearish_meaning","hard_or_soft","used_by_hypotheses","NT_implementation_notes","backtest_notes"
"signal_id","metadata","bar index; timestamp; instrument","Unique ID from instrument plus bar time plus direction.","Identifies bullish signal row.","Identifies bearish signal row.","hard","all","Generate once at ConfirmedSignal; reuse for state updates.","Needed to join signal and outcome rows."
"direction","metadata","signal object","Bullish or bearish candidate direction.","Long candidate.","Short candidate.","hard","all","Maintain separate bull and bear candidates before final selection.","Do not net scores too early."
"state","confirmation","signal state machine","Preview, ConfirmedSignal, Triggered, Validated, Invalidated.","Shows long signal maturity.","Shows short signal maturity.","hard","all","Default export starts at ConfirmedSignal; preview optional.","Avoid lookahead by separating states."
"grade","scoring","score components","Map total score to A+, A, B, C, watch, reject.","Long quality grade.","Short quality grade.","soft","VH018","Apply hard caps before assigning grade.","Analyze expectancy by grade."
"total_score","scoring","score components","Sum location, failure, confirmation, risk, timing after caps.","Higher long quality.","Higher short quality.","soft","VH018","Calculate separately for bull and bear.","A+ threshold is research default, not truth."
"location_score","scoring","levels; OHLC","0-25 weighted score for edge quality.","Support/low context quality.","Resistance/high context quality.","soft","VH001;VH002;VH003;VH004;VH005;VH007;VH013;VH018","Include HOD/LOD, swing, user, VWAP, value/POC if available.","Test component ablation."
"failure_score","scoring","footprint; delta; OHLC","0-30 score for exhaustion/absorption/failure evidence.","Seller failure quality.","Buyer failure quality.","soft","VH002;VH003;VH004;VH005;VH010;VH018","Aggregate module scores but log components separately.","Avoid hiding bad modules in aggregate."
"confirmation_score","scoring","OHLC; state","0-20 for bar close, next-bar trigger, reclaim, quick MFE.","Long confirmation quality.","Short confirmation quality.","soft","VH001;VH007;VH013;VH018","No intrabar final confirmation by default.","Compare ConfirmOnClose vs ConfirmNextBar."
"risk_score","risk","entry; stop; OHLC","0-15 for stop distance, bar size, reward room.","Long R quality.","Short R quality.","soft","VH015;VH018","Compute stop from signal low/high plus buffer.","Poor risk should cap grade."
"timing_score","context","session clock; volatility","0-10 for session and volatility context.","Long timing quality.","Short timing quality.","soft","VH016;VH017;VH018","Downscore pre-open and hostile regimes.","Do not hard-block until tested."
"edge_level_type","context","OHLC; levels","Nearest edge type: HOD, LOD, swing, VWAP, value, user, none.","Identifies support reference.","Identifies resistance reference.","hard","VH001;VH002;VH007;VH013;VH018","Store enum/string for export.","Group expectancy by level type."
"edge_price","context","levels","Price of rejected edge.","Support/low being rejected.","Resistance/high being rejected.","hard","VH001;VH002;VH007;VH013","Use nearest qualifying level.","Needed for stop/reclaim analysis."
"level_proximity_ticks","context","OHLC; levels; tick size","Ticks from signal extreme/close to nearest edge.","Smaller near support is better.","Smaller near resistance is better.","soft","VH001;VH002;VH003;VH004;VH005;VH016","Calculate per direction.","Optimize tolerance by instrument."
"session_extreme_flag","context","session high/low","True if bar touches HOD/LOD within tolerance.","LOD touch supports long reversal.","HOD touch supports short reversal.","hard/soft","VH001;VH004;VH005","Session template matters.","Trend days can punish fades."
"swing_extreme_rank","context","OHLC lookback","Rank of current high/low over swing lookback.","Low rank near 0 supports long edge.","High rank near 1 supports short edge.","soft","VH001;VH006;VH013","Default lookback 25, configurable.","Test 10/20/25/50."
"range_location","context","recent range; OHLC","Close/location within recent range 0-1.","Near range low favors long.","Near range high favors short.","soft","VH016","Use rolling range or session range.","Avoid mid-range signals."
"context_regime","context","OHLC; VWAP; IB","Trend, rotation, transition, unknown.","Long reversal better in rotation low or failed breakdown.","Short reversal better in rotation high or failed breakout.","soft","VH016","Start simple: VWAP slope plus IB state.","Use as cap/weight."
"minutes_to_cash_open","session","session clock","Minutes before next cash open.","Pre-open long risk flag.","Pre-open short risk flag.","soft","VH017","Requires session template.","Test 3/5/10 min filters."
"session_phase","session","time","Premarket, open, morning, lunch, afternoon, overnight.","Context for long signal.","Context for short signal.","soft","VH016;VH017","Export enum.","Analyze expectancy by phase."
"edge_volume_low","exhaustion","volumetric footprint","Volume at signal bar low.","Low value can mean seller exhaustion.","Not used except context.","soft","VH001;VH002","Requires volume at price.","Test absolute and percentile thresholds."
"edge_volume_high","exhaustion","volumetric footprint","Volume at signal bar high.","Not used except context.","Low value can mean buyer exhaustion.","soft","VH001;VH002","Requires volume at price.","Test absolute and percentile thresholds."
"exhaustion_flag","exhaustion","edge volume; levels","True if edge volume <= configured threshold at qualified edge.","Bullish at low edge.","Bearish at high edge.","hard/soft","VH001;VH002","Use threshold plus level gate.","Compare flag vs graded edge volume."
