video_number,inferred_date,inferred_title,video_id,source_vtt_path,cleaned_md_path,word_count,line_count,file_size_bytes,has_transcript,notes
1,2016-05-26,"Orderflows Trader Market Review Trade Analysis Wed May 25, 2016",7uOrbuUhQmQ,"C:\YTTranscripts\Orderflows_Dedup_v2\20160526 - Orderflows Trader Market Review Trade Analysis Wed May 25, 2016 [7uOrbuUhQmQ].en.vtt",C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0001_20160526_Orderflows_Trader_Market_Review_Trade_Analysis_Wed_May_25_20_7uOrbuUhQmQ.md,2983,385,141820,TRUE,
2,2016-05-27,"Orderflows Market Analysis For ES May 27, 2016 Order Flow Trade Review",-_BCmY_FWM0,"C:\YTTranscripts\Orderflows_Dedup_v2\20160527 - Orderflows Market Analysis For ES May 27, 2016 Order Flow Trade Review [-_BCmY_FWM0].en.vtt",C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0002_20160527_Orderflows_Market_Analysis_For_ES_May_27_2016_Order_Flow_Tra_-_BCmY_FWM0.md,3287,428,155298,TRUE,
3,2016-05-29,Orderflows Price Rejector Preview How To Find Areas Of Price Rejection For Market Reversals,NeSyYhLqDU4,C:\YTTranscripts\Orderflows_Dedup_v2\20160529 - Orderflows Price Rejector Preview How To Find Areas Of Price Rejection For Market Reversals [NeSyYhLqDU4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0003_20160529_Orderflows_Price_Rejector_Preview_How_To_Find_Areas_Of_Price_NeSyYhLqDU4.md,9243,1299,451802,TRUE,
4,2016-06-05,Orderflows Price Rejector Crude Oil Analysis May 2 to May 19 2016 Unirenko Charts,Jue1VeHm1n4,C:\YTTranscripts\Orderflows_Dedup_v2\20160605 - Orderflows Price Rejector Crude Oil Analysis May 2 to  May 19 2016 Unirenko Charts [Jue1VeHm1n4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0004_20160605_Orderflows_Price_Rejector_Crude_Oil_Analysis_May_2_to_May_19_Jue1VeHm1n4.md,4844,621,228847,TRUE,
5,2016-06-14,"Order Flow Trade Market Analysis Trade Recap June 13, 2016 Orderflows Trader And Price Rejector",nUme1f1EY6o,"C:\YTTranscripts\Orderflows_Dedup_v2\20160614 - Order Flow Trade Market Analysis Trade Recap June 13, 2016 Orderflows Trader And Price Rejector [nUme1f1EY6o].en.vtt",C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0005_20160614_Order_Flow_Trade_Market_Analysis_Trade_Recap_June_13_2016_Or_nUme1f1EY6o.md,2743,350,129825,TRUE,
6,2016-06-20,"Orderflows Trade Analysis June 17, 2016 Order Flow Trading Education",PbZTSh3lNbU,"C:\YTTranscripts\Orderflows_Dedup_v2\20160620 - Orderflows Trade Analysis June 17, 2016 Order Flow Trading Education [PbZTSh3lNbU].en.vtt",C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0006_20160620_Orderflows_Trade_Analysis_June_17_2016_Order_Flow_Trading_Ed_PbZTSh3lNbU.md,1954,245,91586,TRUE,
7,2016-06-21,"Forex Trading With Orderflows Price Rejector June 21, 2016 Trade FX With Order Flow Analysis",gyXTe78zuNI,"C:\YTTranscripts\Orderflows_Dedup_v2\20160621 - Forex Trading With Orderflows Price Rejector June 21, 2016 Trade FX With Order Flow Analysis [gyXTe78zuNI].en.vtt",C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0007_20160621_Forex_Trading_With_Orderflows_Price_Rejector_June_21_2016_Tr_gyXTe78zuNI.md,1764,233,84907,TRUE,
8,2016-07-05,Order Flow Trading Overlapping Imbalances In The Futures Market Orderflows Analysis,t1yQY3kxv_g,C:\YTTranscripts\Orderflows_Dedup_v2\20160705 - Order Flow Trading Overlapping Imbalances In The Futures Market Orderflows Analysis [t1yQY3kxv_g].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0008_20160705_Order_Flow_Trading_Overlapping_Imbalances_In_The_Futures_Mar_t1yQY3kxv_g.md,2857,408,141720,TRUE,
9,2016-07-05,Orderflows Trader Price Rejector And Delta Scalper Market Recap June 27 To July 1 2016,_qgb-RkrOWQ,C:\YTTranscripts\Orderflows_Dedup_v2\20160705 - Orderflows Trader Price Rejector And Delta Scalper Market Recap June 27 To July 1 2016 [_qgb-RkrOWQ].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0009_20160705_Orderflows_Trader_Price_Rejector_And_Delta_Scalper_Market_Re__qgb-RkrOWQ.md,8518,1150,408248,TRUE,
10,2016-07-19,Delta Surge Indicator From Orderflows Free Trading Software For NinjaTrader,Zz2ZBXM9MAc,C:\YTTranscripts\Orderflows_Dedup_v2\20160719 - Delta Surge Indicator From Orderflows Free Trading Software For NinjaTrader [Zz2ZBXM9MAc].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0010_20160719_Delta_Surge_Indicator_From_Orderflows_Free_Trading_Software__Zz2ZBXM9MAc.md,7726,1040,371872,TRUE,
11,2016-08-30,Order Flow Trading AAPL Apple Stock Using Orderflows Delta Scalper Tool August 29 2016,CvwDtsFaIik,C:\YTTranscripts\Orderflows_Dedup_v2\20160830 - Order Flow Trading AAPL Apple Stock Using Orderflows Delta Scalper Tool August 29 2016 [CvwDtsFaIik].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0011_20160830_Order_Flow_Trading_AAPL_Apple_Stock_Using_Orderflows_Delta_S_CvwDtsFaIik.md,1340,178,64447,TRUE,
12,2016-08-31,Orderflows Delta Scalper Market Analysis Goldman Sachs GS Stock And CME Stock August 30 2016,ayanJOgccuw,C:\YTTranscripts\Orderflows_Dedup_v2\20160831 - Orderflows Delta Scalper Market Analysis Goldman Sachs GS Stock And CME Stock August 30 2016 [ayanJOgccuw].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0012_20160831_Orderflows_Delta_Scalper_Market_Analysis_Goldman_Sachs_GS_St_ayanJOgccuw.md,2500,329,118734,TRUE,
13,2016-09-02,Orderflows Trade Recap ES Sept 1 2016 Value Area Explanation Missed Trades,tkUyuFyso08,C:\YTTranscripts\Orderflows_Dedup_v2\20160902 - Orderflows Trade Recap ES Sept 1 2016 Value Area Explanation Missed Trades [tkUyuFyso08].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0013_20160902_Orderflows_Trade_Recap_ES_Sept_1_2016_Value_Area_Explanation_tkUyuFyso08.md,3436,460,165444,TRUE,
14,2016-09-09,Webinar 3 Keys To Order Flow Trading Will Improve Your Trading Results,th36g_Khq-g,C:\YTTranscripts\Orderflows_Dedup_v2\20160909 - Webinar 3 Keys To Order Flow Trading Will Improve Your Trading Results [th36g_Khq-g].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0014_20160909_Webinar_3_Keys_To_Order_Flow_Trading_Will_Improve_Your_Tradi_th36g_Khq-g.md,9187,1290,451799,TRUE,
15,2016-10-16,Order Flow Trading Course Learn Order Flow Trading Strategy And Analysis,3dHX2BWJoUw,C:\YTTranscripts\Orderflows_Dedup_v2\20161016 - Order Flow Trading Course Learn Order Flow Trading Strategy And Analysis [3dHX2BWJoUw].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0015_20161016_Order_Flow_Trading_Course_Learn_Order_Flow_Trading_Strategy__3dHX2BWJoUw.md,1889,267,93418,TRUE,
16,2016-12-29,Orderflows Market Analysis Point Of Control At Extremes December 28 2016 Order Flow Education,Jx9PmBDQ1HA,C:\YTTranscripts\Orderflows_Dedup_v2\20161229 - Orderflows Market Analysis Point Of Control At Extremes December 28 2016 Order Flow Education [Jx9PmBDQ1HA].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0016_20161229_Orderflows_Market_Analysis_Point_Of_Control_At_Extremes_Dece_Jx9PmBDQ1HA.md,2575,344,123234,TRUE,
17,2017-01-23,Orderflows Valtos Indicator Suite Order Flow Analysis Made Simple,iKAu1VUZ9dM,C:\YTTranscripts\Orderflows_Dedup_v2\20170123 - Orderflows Valtos Indicator Suite Order Flow Analysis Made Simple [iKAu1VUZ9dM].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0017_20170123_Orderflows_Valtos_Indicator_Suite_Order_Flow_Analysis_Made_S_iKAu1VUZ9dM.md,5298,720,256437,TRUE,
18,2017-02-08,Order Flow Indicator The Valtos Flip Orderflows Analysis And Setups,y3k5sBTm6q4,C:\YTTranscripts\Orderflows_Dedup_v2\20170208 - Order Flow Indicator The Valtos Flip Orderflows Analysis And Setups [y3k5sBTm6q4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0018_20170208_Order_Flow_Indicator_The_Valtos_Flip_Orderflows_Analysis_And_y3k5sBTm6q4.md,13622,1963,673905,TRUE,
19,2017-02-11,Order Flow Indicator Valtos Transition Orderflows Analysis Tool,LXYGvmx9fFg,C:\YTTranscripts\Orderflows_Dedup_v2\20170211 - Order Flow Indicator Valtos Transition Orderflows Analysis Tool [LXYGvmx9fFg].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0019_20170211_Order_Flow_Indicator_Valtos_Transition_Orderflows_Analysis_T_LXYGvmx9fFg.md,11813,1684,574037,TRUE,
20,2017-02-12,Order Flow Market Analysis Feb 10 ES ZB 6E Futures Day Trading Orderflows,aYqizEnnpFE,C:\YTTranscripts\Orderflows_Dedup_v2\20170212 - Order Flow Market Analysis Feb 10 ES ZB 6E Futures Day Trading Orderflows [aYqizEnnpFE].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0020_20170212_Order_Flow_Market_Analysis_Feb_10_ES_ZB_6E_Futures_Day_Tradi_aYqizEnnpFE.md,5391,715,256728,TRUE,
21,2017-02-12,Trade Miner Review By Mike At Orderflows Market Analysis Data Mining Software,K38wf0U5ivs,C:\YTTranscripts\Orderflows_Dedup_v2\20170212 - Trade Miner Review By Mike At Orderflows Market Analysis Data Mining Software [K38wf0U5ivs].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0021_20170212_Trade_Miner_Review_By_Mike_At_Orderflows_Market_Analysis_Dat_K38wf0U5ivs.md,3671,520,177798,TRUE,
22,2017-02-14,Orderflows Trade Analysis Feb 13 2017 ES ZB YM CL 6E Futures Daytrading Order Flow,0wjGtcrOrow,C:\YTTranscripts\Orderflows_Dedup_v2\20170214 - Orderflows Trade Analysis Feb 13 2017 ES ZB YM CL 6E Futures Daytrading Order Flow [0wjGtcrOrow].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0022_20170214_Orderflows_Trade_Analysis_Feb_13_2017_ES_ZB_YM_CL_6E_Futures_0wjGtcrOrow.md,3624,489,173561,TRUE,
23,2017-02-15,Orderflows Market Analysis Feb 14 2017 Order Flow Market Recap ES CL 6E YM ZB Futures,HFj-RP2rFe0,C:\YTTranscripts\Orderflows_Dedup_v2\20170215 - Orderflows Market Analysis Feb 14 2017 Order Flow Market Recap ES CL 6E YM ZB Futures [HFj-RP2rFe0].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0023_20170215_Orderflows_Market_Analysis_Feb_14_2017_Order_Flow_Market_Rec_HFj-RP2rFe0.md,6245,846,298265,TRUE,
24,2017-02-17,Orderflows Market Analysis Feb 16 2017 Order Flow Trading ES ZB 6E YM Day Trading Futures,b0cd2qHJ08c,C:\YTTranscripts\Orderflows_Dedup_v2\20170217 - Orderflows Market Analysis Feb 16 2017 Order Flow Trading ES ZB 6E YM Day Trading Futures [b0cd2qHJ08c].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0024_20170217_Orderflows_Market_Analysis_Feb_16_2017_Order_Flow_Trading_ES_b0cd2qHJ08c.md,7272,962,347071,TRUE,
25,2017-02-20,Orderflows Trader Market Analysis Febraury 17 2017 ES ZB ZF YM 6E ZS Futures Market,cKZFZS1fasA,C:\YTTranscripts\Orderflows_Dedup_v2\20170220 - Orderflows Trader Market Analysis Febraury 17 2017 ES ZB ZF YM 6E ZS Futures Market [cKZFZS1fasA].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0025_20170220_Orderflows_Trader_Market_Analysis_Febraury_17_2017_ES_ZB_ZF__cKZFZS1fasA.md,3878,505,183594,TRUE,
26,2017-02-22,Orderflows Market Analysis Feb 21 2017 ES ZB 6E YM CL Futures Day Trading With Order Flow,UvqQkGD7X2s,C:\YTTranscripts\Orderflows_Dedup_v2\20170222 - Orderflows Market Analysis Feb 21 2017 ES ZB 6E YM CL Futures Day Trading With Order Flow [UvqQkGD7X2s].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0026_20170222_Orderflows_Market_Analysis_Feb_21_2017_ES_ZB_6E_YM_CL_Future_UvqQkGD7X2s.md,6594,878,313984,TRUE,
27,2017-02-22,Orderflows Market Analysis February 22 2017 ES ZB ZF 6E CL Day Trading Futures Order Flow Education,xYjB5X-nHj4,C:\YTTranscripts\Orderflows_Dedup_v2\20170222 - Orderflows Market Analysis February 22 2017 ES ZB ZF 6E CL Day Trading Futures Order Flow Education [xYjB5X-nHj4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0027_20170222_Orderflows_Market_Analysis_February_22_2017_ES_ZB_ZF_6E_CL_D_xYjB5X-nHj4.md,7144,1005,349599,TRUE,
28,2017-02-24,Orderflows Market Analysis February 23 2017 ES ZB 6E CL YM Futures Analysis With Order Flow,eBh6heFIGVU,C:\YTTranscripts\Orderflows_Dedup_v2\20170224 - Orderflows Market Analysis February 23 2017 ES ZB 6E CL YM Futures Analysis With Order Flow [eBh6heFIGVU].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0028_20170224_Orderflows_Market_Analysis_February_23_2017_ES_ZB_6E_CL_YM_F_eBh6heFIGVU.md,6926,945,331299,TRUE,
29,2017-02-26,Top 3 Ways Order Flow Will Improve Your Trading Webinar Orderflows Futures Markets,XShBPpHdaqM,C:\YTTranscripts\Orderflows_Dedup_v2\20170226 - Top 3 Ways Order Flow Will Improve Your Trading Webinar Orderflows Futures Markets [XShBPpHdaqM].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0029_20170226_Top_3_Ways_Order_Flow_Will_Improve_Your_Trading_Webinar_Orde_XShBPpHdaqM.md,17578,2376,849044,TRUE,
30,2017-03-15,Orderflows Market Analysis March 14 2017 Trading Recap ES ZB ZF ZS Order Flow,OXUN90r0pQM,C:\YTTranscripts\Orderflows_Dedup_v2\20170315 - Orderflows Market Analysis March 14 2017 Trading Recap ES ZB ZF ZS Order Flow [OXUN90r0pQM].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0030_20170315_Orderflows_Market_Analysis_March_14_2017_Trading_Recap_ES_ZB_OXUN90r0pQM.md,5439,717,258929,TRUE,
31,2017-03-18,Orderflows Market Analysis March 16 2017 Order Flow Trading ES ZF FDAX,iyo6cKqRkwg,C:\YTTranscripts\Orderflows_Dedup_v2\20170318 - Orderflows Market Analysis March 16 2017 Order Flow Trading ES ZF FDAX [iyo6cKqRkwg].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0031_20170318_Orderflows_Market_Analysis_March_16_2017_Order_Flow_Trading__iyo6cKqRkwg.md,4788,622,228334,TRUE,
32,2017-03-18,Orderflows Market Analysis March 17 2017 Order Flow Day Trading ES ZS ZF Bunds,0u9lW0ec0Io,C:\YTTranscripts\Orderflows_Dedup_v2\20170318 - Orderflows Market Analysis March 17 2017 Order Flow Day Trading ES ZS ZF Bunds [0u9lW0ec0Io].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0032_20170318_Orderflows_Market_Analysis_March_17_2017_Order_Flow_Day_Trad_0u9lW0ec0Io.md,3945,544,191513,TRUE,
33,2017-03-22,How To Improve Your Trading With Order Flow Analysis Market Recap March 21 2017,3agHlhCySSQ,C:\YTTranscripts\Orderflows_Dedup_v2\20170322 - How To Improve Your Trading With Order Flow Analysis Market Recap March 21 2017 [3agHlhCySSQ].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0033_20170322_How_To_Improve_Your_Trading_With_Order_Flow_Analysis_Market__3agHlhCySSQ.md,5547,750,266406,TRUE,
34,2017-04-15,Orderflows Market Analysis April 13 2017 ZB 6E ES Futures Market Order Flow Trading,Fa47K3YHoV0,C:\YTTranscripts\Orderflows_Dedup_v2\20170415 - Orderflows Market Analysis April 13 2017 ZB 6E ES Futures Market Order Flow Trading [Fa47K3YHoV0].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0034_20170415_Orderflows_Market_Analysis_April_13_2017_ZB_6E_ES_Futures_Ma_Fa47K3YHoV0.md,3279,429,156403,TRUE,
35,2017-04-19,Orderflows Market Analysis April 18 2017 Webinar Preview Order Flow Trade Recap CL ES ZB ZF ZS,0B4OCovwwJY,C:\YTTranscripts\Orderflows_Dedup_v2\20170419 - Orderflows Market Analysis April 18 2017 Webinar Preview Order Flow Trade Recap CL ES ZB ZF ZS [0B4OCovwwJY].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0035_20170419_Orderflows_Market_Analysis_April_18_2017_Webinar_Preview_Ord_0B4OCovwwJY.md,4241,566,203683,TRUE,
36,2017-04-27,Orderflows Market Analysis April 26 2017 Emini SP Soybeans Bonds Five Year Notes Futures Market Reca,f9YFje3Ils0,C:\YTTranscripts\Orderflows_Dedup_v2\20170427 - Orderflows Market Analysis April 26 2017 Emini SP Soybeans Bonds Five Year Notes Futures Market Reca [f9YFje3Ils0].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0036_20170427_Orderflows_Market_Analysis_April_26_2017_Emini_SP_Soybeans_B_f9YFje3Ils0.md,8467,1116,402075,TRUE,
37,2017-04-28,Orderflows Market Analysis Apri 27 2017 ES Futures ZF ZB CL Day Trading Setups Order Flow Trading,pRgakHV61oU,C:\YTTranscripts\Orderflows_Dedup_v2\20170428 - Orderflows Market Analysis Apri 27 2017 ES Futures ZF ZB CL Day Trading Setups Order Flow Trading [pRgakHV61oU].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0037_20170428_Orderflows_Market_Analysis_Apri_27_2017_ES_Futures_ZF_ZB_CL__pRgakHV61oU.md,6998,983,344683,TRUE,
